CN,Any-Any,Si-Any,Si-Si,Any-Any_smoothed,Si-Any_smoothed,Si-Si_smoothed
neighbors,Count,Count,Count,Count,Count,Count
Coordination Number,Any-Any,Si-Any,Si-Si,Any-Any_smoothed,Si-Any_smoothed,Si-Si_smoothed
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000,0.95754,0.95754,0.95754
2.00000,0.00000,0.00000,0.00000,11.66521,11.66521,11.66521
3.00000,0.00000,0.00000,0.00000,52.27983,52.27983,52.27983
4.00000,216.00000,216.00000,216.00000,86.19486,86.19486,86.19486
5.00000,0.00000,0.00000,0.00000,52.27983,52.27983,52.27983
6.00000,0.00000,0.00000,0.00000,11.66521,11.66521,11.66521
