Q,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å⁻¹,arbitrary units,arbitrary units,arbitrary units,arbitrary units
Structure Factor S(Q),Si-Si,Total,Si-Si_smoothed,Total_smoothed
3.77000,0.00000,0.00000,2.39931,2.39931
3.79000,0.00000,0.00000,2.65165,2.65165
3.81000,0.00000,0.00000,2.81562,2.81562
3.83000,36.00000,36.00000,2.87250,2.87250
3.85000,0.00000,0.00000,2.81562,2.81562
3.87000,0.00000,0.00000,2.65165,2.65165
3.89000,0.00000,0.00000,2.39931,2.39931
3.91000,0.00000,0.00000,2.08586,2.08586
3.93000,0.00000,0.00000,1.74226,1.74226
3.95000,0.00000,0.00000,1.39820,1.39820
3.97000,0.00000,0.00000,1.07808,1.07808
3.99000,0.00000,0.00000,0.79866,0.79866
4.01000,0.00000,0.00000,0.56846,0.56846
4.03000,0.00000,0.00000,0.38875,0.38875
4.05000,0.00000,0.00000,0.25543,0.25543
4.07000,0.00000,0.00000,0.16125,0.16125
4.09000,0.00000,0.00000,0.09780,0.09780
4.11000,0.00000,0.00000,0.05699,0.05699
4.13000,0.00000,0.00000,0.03191,0.03191
4.15000,0.00000,0.00000,0.01717,0.01717
4.17000,0.00000,0.00000,0.00887,0.00887
4.19000,0.00000,0.00000,0.00441,0.00441
4.21000,0.00000,0.00000,0.00210,0.00210
4.23000,0.00000,0.00000,0.00212,0.00212
4.25000,0.00000,0.00000,0.00252,0.00252
4.27000,0.00000,0.00000,0.00529,0.00529
4.29000,0.00000,0.00000,0.01065,0.01065
4.31000,0.00000,0.00000,0.02060,0.02060
4.33000,0.00000,0.00000,0.03829,0.03829
4.35000,0.00000,0.00000,0.06839,0.06839
4.37000,0.00000,0.00000,0.11736,0.11736
4.39000,0.00000,0.00000,0.19350,0.19350
4.41000,0.00000,0.00000,0.30651,0.30651
4.43000,0.00000,0.00000,0.46650,0.46650
4.45000,0.00000,0.00000,0.68216,0.68216
4.47000,0.00000,0.00000,0.95839,0.95839
4.49000,0.00000,0.00000,1.29370,1.29370
4.51000,0.00000,0.00000,1.67783,1.67783
4.53000,0.00000,0.00000,2.09071,2.09071
4.55000,0.00000,0.00000,2.50304,2.50304
4.57000,0.00000,0.00000,2.87918,2.87918
