r,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å,Å⁻¹,Å⁻¹,Å⁻¹,Å⁻¹
Pair Distribution Function,Si-Si,Total,Si-Si_smoothed,Total_smoothed
4.67000,0.00000,0.00000,1.04262,1.04262
4.69000,0.00000,0.00000,0.74211,0.74211
4.71000,0.00000,0.00000,0.50750,0.50750
4.73000,0.00000,0.00000,0.33345,0.33345
4.75000,0.00000,0.00000,0.21050,0.21050
4.77000,0.00000,0.00000,0.12768,0.12768
4.79000,0.00000,0.00000,0.07440,0.07440
4.81000,0.00000,0.00000,0.04166,0.04166
4.83000,0.00000,0.00000,0.02241,0.02241
4.85000,0.00000,0.00000,0.01158,0.01158
4.87000,0.00000,0.00000,0.00575,0.00575
4.89000,0.00000,0.00000,0.00274,0.00274
4.91000,0.00000,0.00000,0.00126,0.00126
4.93000,0.00000,0.00000,0.00000,0.00000
4.95000,0.00000,0.00000,0.00000,0.00000
4.97000,0.00000,0.00000,0.00000,0.00000
4.99000,0.00000,0.00000,0.00000,0.00000
5.01000,0.00000,0.00000,0.00000,0.00000
5.03000,0.00000,0.00000,0.00043,0.00043
5.05000,0.00000,0.00000,0.00095,0.00095
5.07000,0.00000,0.00000,0.00198,0.00198
5.09000,0.00000,0.00000,0.00400,0.00400
5.11000,0.00000,0.00000,0.00773,0.00773
5.13000,0.00000,0.00000,0.01437,0.01437
5.15000,0.00000,0.00000,0.02566,0.02566
5.17000,0.00000,0.00000,0.04404,0.04404
5.19000,0.00000,0.00000,0.07261,0.07261
5.21000,0.00000,0.00000,0.11501,0.11501
5.23000,0.00000,0.00000,0.17505,0.17505
5.25000,0.00000,0.00000,0.25597,0.25597
5.27000,0.00000,0.00000,0.35962,0.35962
5.29000,0.00000,0.00000,0.48544,0.48544
5.31000,0.00000,0.00000,0.62959,0.62959
5.33000,0.00000,0.00000,0.78451,0.78451
5.35000,0.00000,0.00000,0.93923,0.93923
5.37000,0.00000,0.00000,1.08037,1.08037
5.39000,0.00000,0.00000,1.19400,1.19400
5.41000,0.00000,0.00000,1.26783,1.26783
5.43000,16.21023,16.21023,1.29344,1.29344
5.45000,0.00000,0.00000,1.26783,1.26783
5.47000,0.00000,0.00000,1.19400,1.19400
5.49000,0.00000,0.00000,1.08037,1.08037
5.51000,0.00000,0.00000,0.93996,0.93996
5.53000,0.00000,0.00000,0.78611,0.78611
5.55000,0.00000,0.00000,0.63293,0.63293
5.57000,0.00000,0.00000,0.49219,0.49219
5.59000,0.00000,0.00000,0.37267,0.37267
5.61000,0.00000,0.00000,0.28023,0.28023
5.63000,0.00000,0.00000,0.21838,0.21838
5.65000,0.00000,0.00000,0.18937,0.18937
5.67000,0.00000,0.00000,0.19519,0.19519
5.69000,0.00000,0.00000,0.23822,0.23822
5.71000,0.00000,0.00000,0.32120,0.32120
5.73000,0.00000,0.00000,0.44653,0.44653
5.75000,0.00000,0.00000,0.61489,0.61489
5.77000,0.00000,0.00000,0.82358,0.82358
5.79000,0.00000,0.00000,1.06493,1.06493
5.81000,0.00000,0.00000,1.32545,1.32545
5.83000,0.00000,0.00000,1.58616,1.58616
5.85000,0.00000,0.00000,1.82401,1.82401
5.87000,0.00000,0.00000,2.01585,2.01585
5.89000,0.00000,0.00000,2.14050,2.14050
5.91000,27.36805,27.36805,2.18374,2.18374
5.93000,0.00000,0.00000,2.14050,2.14050
5.95000,0.00000,0.00000,2.01585,2.01585
5.97000,0.00000,0.00000,1.82401,1.82401
5.99000,0.00000,0.00000,1.58572,1.58572
6.01000,0.00000,0.00000,1.32451,1.32451
6.03000,0.00000,0.00000,1.06294,1.06294
6.05000,0.00000,0.00000,0.81958,0.81958
6.07000,0.00000,0.00000,0.60716,0.60716
6.09000,0.00000,0.00000,0.43216,0.43216
6.11000,0.00000,0.00000,0.29554,0.29554
6.13000,0.00000,0.00000,0.19418,0.19418
6.15000,0.00000,0.00000,0.12258,0.12258
6.17000,0.00000,0.00000,0.07435,0.07435
6.19000,0.00000,0.00000,0.04333,0.04333
6.21000,0.00000,0.00000,0.02426,0.02426
6.23000,0.00000,0.00000,0.01305,0.01305
6.25000,0.00000,0.00000,0.00790,0.00790
6.27000,0.00000,0.00000,0.00587,0.00587
6.29000,0.00000,0.00000,0.00689,0.00689
6.31000,0.00000,0.00000,0.01139,0.01139
6.33000,0.00000,0.00000,0.02061,0.02061
6.35000,0.00000,0.00000,0.03832,0.03832
6.37000,0.00000,0.00000,0.06844,0.06844
6.39000,0.00000,0.00000,0.11745,0.11745
6.41000,0.00000,0.00000,0.19364,0.19364
6.43000,0.00000,0.00000,0.30674,0.30674
6.45000,0.00000,0.00000,0.46685,0.46685
6.47000,0.00000,0.00000,0.68266,0.68266
6.49000,0.00000,0.00000,0.95910,0.95910
6.51000,0.00000,0.00000,1.29466,1.29466
6.53000,0.00000,0.00000,1.67908,1.67908
