r,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å,Å⁻¹,Å⁻¹,Å⁻¹,Å⁻¹
Radial Distribution Function,Si-Si,Total,Si-Si_smoothed,Total_smoothed
6.89000,0.00000,0.00000,23.12295,23.12295
6.91000,0.00000,0.00000,27.21740,27.21740
6.93000,0.00000,0.00000,32.97080,32.97080
6.95000,0.00000,0.00000,39.78056,39.78056
6.97000,0.00000,0.00000,46.92471,46.92471
6.99000,0.00000,0.00000,53.61382,53.61382
7.01000,0.00000,0.00000,59.07245,59.07245
7.03000,0.00000,0.00000,62.63941,62.63941
7.05000,800.00000,800.00000,63.86545,63.86545
7.07000,0.00000,0.00000,62.56934,62.56934
7.09000,0.00000,0.00000,58.92559,58.92559
7.11000,0.00000,0.00000,53.31808,53.31808
7.13000,0.00000,0.00000,46.35251,46.35251
7.15000,0.00000,0.00000,38.71687,38.71687
7.17000,0.00000,0.00000,31.07102,31.07102
7.19000,0.00000,0.00000,23.95736,23.95736
7.21000,0.00000,0.00000,17.74805,17.74805
7.23000,0.00000,0.00000,12.63253,12.63253
7.25000,0.00000,0.00000,8.63890,8.63890
7.27000,0.00000,0.00000,5.67616,5.67616
7.29000,0.00000,0.00000,3.59933,3.59933
7.31000,0.00000,0.00000,2.20840,2.20840
7.33000,0.00000,0.00000,1.33995,1.33995
7.35000,0.00000,0.00000,0.85700,0.85700
7.37000,0.00000,0.00000,0.66757,0.66757
7.39000,0.00000,0.00000,0.72901,0.72901
7.41000,0.00000,0.00000,1.04780,1.04780
7.43000,0.00000,0.00000,1.67674,1.67674
7.45000,0.00000,0.00000,2.70887,2.70887
7.47000,0.00000,0.00000,4.25712,4.25712
7.49000,0.00000,0.00000,6.47918,6.47918
7.51000,0.00000,0.00000,9.47440,9.47440
7.53000,0.00000,0.00000,13.31103,13.31103
7.55000,0.00000,0.00000,17.96802,17.96802
7.57000,0.00000,0.00000,23.30326,23.30326
7.59000,0.00000,0.00000,29.03765,29.03765
7.61000,0.00000,0.00000,34.76438,34.76438
7.63000,0.00000,0.00000,40.02068,40.02068
