r,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å,Å⁻¹,Å⁻¹,Å⁻¹,Å⁻¹
Reduced Pair Distribution Function,Si-Si,Total,Si-Si_smoothed,Total_smoothed
8.45000,-5.30382,-5.30382,-1.12035,-1.12035
8.47000,-5.31638,-5.31638,0.10929,0.10929
8.49000,-5.32893,-5.32893,1.43187,1.43187
8.51000,-5.34148,-5.34148,2.75447,2.75447
8.53000,-5.35404,-5.35404,3.96038,3.96038
8.55000,-5.36659,-5.36659,4.93133,4.93133
8.57000,-5.37914,-5.37914,5.56341,5.56341
8.59000,134.30562,134.30562,5.78709,5.78709
8.61000,-5.40425,-5.40425,5.58140,5.58140
8.63000,-5.41681,-5.41681,4.97949,4.97949
8.65000,-5.42936,-5.42936,4.06407,4.06407
8.67000,-5.44191,-5.44191,2.95386,2.95386
8.69000,-5.45447,-5.45447,1.78413,1.78413
8.71000,-5.46702,-5.46702,0.68583,0.68583
8.73000,-5.47957,-5.47957,-0.23275,-0.23275
8.75000,-5.49213,-5.49213,-0.89899,-0.89899
8.77000,-5.50468,-5.50468,-1.28215,-1.28215
8.79000,-5.51723,-5.51723,-1.39329,-1.39329
8.81000,-5.52979,-5.52979,-1.27961,-1.27961
8.83000,-5.54234,-5.54234,-1.01490,-1.01490
8.85000,-5.55489,-5.55489,-0.68732,-0.68732
8.87000,-5.56745,-5.56745,-0.38622,-0.38622
8.89000,-5.58000,-5.58000,-0.18939,-0.18939
8.91000,61.74751,61.74751,-0.15276,-0.15276
8.93000,-5.60511,-5.60511,-0.30390,-0.30390
8.95000,-5.61766,-5.61766,-0.64050,-0.64050
8.97000,-5.63021,-5.63021,-1.13400,-1.13400
8.99000,-5.64277,-5.64277,-1.73730,-1.73730
9.01000,-5.65532,-5.65532,-2.39519,-2.39519
9.03000,-5.66787,-5.66787,-3.04999,-3.04999
9.05000,-5.68043,-5.68043,-3.65861,-3.65861
9.07000,-5.69298,-5.69298,-4.18856,-4.18856
9.09000,-5.70553,-5.70553,-4.62192,-4.62192
9.11000,-5.71809,-5.71809,-4.95323,-4.95323
9.13000,-5.73064,-5.73064,-5.18555,-5.18555
9.15000,-5.74319,-5.74319,-5.32609,-5.32609
9.17000,-5.75575,-5.75575,-5.38241,-5.38241
9.19000,-5.76830,-5.76830,-5.36009,-5.36009
9.21000,-5.78085,-5.78085,-5.26214,-5.26214
9.23000,-5.79341,-5.79341,-5.09007,-5.09007
9.25000,-5.80596,-5.80596,-4.84632,-4.84632
9.27000,-5.81851,-5.81851,-4.53730,-4.53730
9.29000,-5.83107,-5.83107,-4.17286,-4.17286
9.31000,-5.84362,-5.84362,-3.77737,-3.77737
9.33000,-5.85618,-5.85618,-3.37808,-3.37808
9.35000,-5.86873,-5.86873,-3.00515,-3.00515
9.37000,-5.88128,-5.88128,-2.69122,-2.69122
9.39000,-5.89384,-5.89384,-2.45944,-2.45944
9.41000,36.60158,36.60158,-2.31855,-2.31855
9.43000,-5.91894,-5.91894,-2.25789,-2.25789
9.45000,-5.93150,-5.93150,-2.24580,-2.24580
9.47000,-5.94405,-5.94405,-2.23233,-2.23233
9.49000,-5.95660,-5.95660,-2.15637,-2.15637
9.51000,-5.96916,-5.96916,-1.95644,-1.95644
9.53000,-5.98171,-5.98171,-1.58338,-1.58338
9.55000,-5.99426,-5.99426,-1.01272,-1.01272
9.57000,-6.00682,-6.00682,-0.25402,-0.25402
9.59000,-6.01937,-6.01937,0.64518,0.64518
9.61000,-6.03192,-6.03192,1.60242,1.60242
9.63000,-6.04448,-6.04448,2.51070,2.51070
9.65000,-6.05703,-6.05703,3.25497,3.25497
9.67000,-6.06958,-6.06958,3.73155,3.73155
9.69000,117.75687,117.75687,3.86648,3.86648
9.71000,-6.09469,-6.09469,3.62865,3.62865
9.73000,-6.10724,-6.10724,3.03463,3.03463
9.75000,-6.11980,-6.11980,2.15058,2.15058
9.77000,-6.13235,-6.13235,1.06197,1.06197
9.79000,-6.14490,-6.14490,-0.12016,-0.12016
9.81000,-6.15746,-6.15746,-1.28829,-1.28829
9.83000,-6.17001,-6.17001,-2.34869,-2.34869
9.85000,-6.18256,-6.18256,-3.22560,-3.22560
9.87000,-6.19512,-6.19512,-3.86528,-3.86528
9.89000,-6.20767,-6.20767,-4.22801,-4.22801
9.91000,-6.22022,-6.22022,-4.28247,-4.28247
9.93000,-6.23278,-6.23278,-4.00041,-4.00041
9.95000,-6.24533,-6.24533,-3.35553,-3.35553
9.97000,-6.25788,-6.25788,-2.32808,-2.32808
9.99000,-6.27044,-6.27044,-0.91494,-0.91494
10.01000,-6.28299,-6.28299,0.85705,0.85705
10.03000,-6.29555,-6.29555,2.92315,2.92315
10.05000,-6.30810,-6.30810,5.16054,5.16054
10.07000,-6.32065,-6.32065,7.40795,7.40795
10.09000,-6.33321,-6.33321,9.47168,9.47168
10.11000,-6.34576,-6.34576,11.15296,11.15296
10.13000,-6.35831,-6.35831,12.28806,12.28806
10.15000,230.08234,230.08234,12.76935,12.76935
10.17000,-6.38342,-6.38342,12.57883,12.57883
10.19000,-6.39597,-6.39597,11.79345,11.79345
10.21000,-6.40853,-6.40853,10.57499,10.57499
10.23000,-6.42108,-6.42108,9.14279,9.14279
10.25000,-6.43363,-6.43363,7.73492,7.73492
10.27000,-6.44619,-6.44619,6.56604,6.56604
10.29000,-6.45874,-6.45874,5.79043,5.79043
10.31000,-6.47129,-6.47129,5.47719,5.47719
10.33000,-6.48385,-6.48385,5.60206,5.60206
10.35000,-6.49640,-6.49640,6.05631,6.05631
10.37000,-6.50895,-6.50895,6.67071,6.67071
10.39000,-6.52151,-6.52151,7.24924,7.24924
10.41000,-6.53406,-6.53406,7.60601,7.60601
10.43000,166.03248,166.03248,7.59810,7.59810
10.45000,-6.55917,-6.55917,7.14813,7.14813
10.47000,-6.57172,-6.57172,6.25342,6.25342
10.49000,-6.58427,-6.58427,4.97759,4.97759
10.51000,-6.59683,-6.59683,3.43483,3.43483
10.53000,-6.60938,-6.60938,1.76338,1.76338
10.55000,-6.62193,-6.62193,0.10031,0.10031
10.57000,-6.63449,-6.63449,-1.44185,-1.44185
10.59000,-6.64704,-6.64704,-2.77467,-2.77467
10.61000,-6.65959,-6.65959,-3.85948,-3.85948
10.63000,-6.67215,-6.67215,-4.68491,-4.68491
