Q,Bi-Bi,Total
4.17000,1.26327,1.26327
4.19000,1.26328,1.26328
4.21000,1.26159,1.26159
4.23000,1.25833,1.25833
4.25000,1.25360,1.25360
4.27000,1.24756,1.24756
4.29000,1.24034,1.24034
4.31000,1.23209,1.23209
4.33000,1.22296,1.22296
4.35000,1.21310,1.21310
4.37000,1.20267,1.20267
4.39000,1.19179,1.19179
4.41000,1.18060,1.18060
4.43000,1.16923,1.16923
4.45000,1.15778,1.15778
4.47000,1.14635,1.14635
4.49000,1.13502,1.13502
4.51000,1.12386,1.12386
4.53000,1.11292,1.11292
4.55000,1.10224,1.10224
4.57000,1.09184,1.09184
4.59000,1.08174,1.08174
4.61000,1.07193,1.07193
4.63000,1.06241,1.06241
4.65000,1.05315,1.05315
4.67000,1.04414,1.04414
4.69000,1.03535,1.03535
4.71000,1.02674,1.02674
4.73000,1.01829,1.01829
4.75000,1.00997,1.00997
4.77000,1.00177,1.00177
4.79000,0.99364,0.99364
4.81000,0.98560,0.98560
4.83000,0.97763,0.97763
4.85000,0.96973,0.96973
4.87000,0.96191,0.96191
4.89000,0.95419,0.95419
4.91000,0.94660,0.94660
4.93000,0.93916,0.93916
4.95000,0.93192,0.93192
4.97000,0.92491,0.92491
4.99000,0.91817,0.91817
5.01000,0.91176,0.91176
5.03000,0.90571,0.90571
5.05000,0.90008,0.90008
5.07000,0.89489,0.89489
5.09000,0.89019,0.89019
5.11000,0.88601,0.88601
5.13000,0.88236,0.88236
5.15000,0.87927,0.87927
5.17000,0.87673,0.87673
5.19000,0.87476,0.87476
5.21000,0.87334,0.87334
5.23000,0.87245,0.87245
5.25000,0.87206,0.87206
5.27000,0.87216,0.87216
5.29000,0.87271,0.87271
5.31000,0.87366,0.87366
5.33000,0.87498,0.87498
5.35000,0.87662,0.87662
5.37000,0.87854,0.87854
5.39000,0.88070,0.88070
5.41000,0.88308,0.88308
5.43000,0.88564,0.88564
5.45000,0.88835,0.88835
5.47000,0.89120,0.89120
5.49000,0.89418,0.89418
5.51000,0.89730,0.89730
5.53000,0.90055,0.90055
5.55000,0.90395,0.90395
5.57000,0.90752,0.90752
5.59000,0.91130,0.91130
5.61000,0.91531,0.91531
5.63000,0.91959,0.91959
5.65000,0.92419,0.92419
5.67000,0.92913,0.92913
5.69000,0.93446,0.93446
5.71000,0.94021,0.94021
5.73000,0.94641,0.94641
5.75000,0.95308,0.95308
5.77000,0.96023,0.96023
5.79000,0.96787,0.96787
5.81000,0.97598,0.97598
5.83000,0.98456,0.98456
5.85000,0.99355,0.99355
5.87000,1.00292,1.00292
5.89000,1.01261,1.01261
5.91000,1.02254,1.02254
5.93000,1.03263,1.03263
5.95000,1.04279,1.04279
5.97000,1.05292,1.05292
5.99000,1.06291,1.06291
6.01000,1.07264,1.07264
6.03000,1.08201,1.08201
6.05000,1.09090,1.09090
6.07000,1.09919,1.09919
6.09000,1.10679,1.10679
6.11000,1.11358,1.11358
6.13000,1.11949,1.11949
6.15000,1.12444,1.12444
6.17000,1.12836,1.12836
6.19000,1.13121,1.13121
6.21000,1.13296,1.13296
6.23000,1.13360,1.13360
6.25000,1.13312,1.13312
6.27000,1.13156,1.13156
6.29000,1.12895,1.12895
6.31000,1.12535,1.12535
6.33000,1.12083,1.12083
6.35000,1.11548,1.11548
6.37000,1.10940,1.10940
6.39000,1.10269,1.10269
6.41000,1.09547,1.09547
6.43000,1.08786,1.08786
6.45000,1.07998,1.07998
6.47000,1.07196,1.07196
6.49000,1.06390,1.06390
6.51000,1.05592,1.05592
6.53000,1.04813,1.04813
6.55000,1.04062,1.04062
6.57000,1.03347,1.03347
6.59000,1.02675,1.02675
6.61000,1.02052,1.02052
6.63000,1.01482,1.01482
6.65000,1.00966,1.00966
6.67000,1.00507,1.00507
6.69000,1.00102,1.00102
6.71000,0.99750,0.99750
6.73000,0.99448,0.99448
6.75000,0.99191,0.99191
6.77000,0.98974,0.98974
6.79000,0.98791,0.98791
6.81000,0.98633,0.98633
6.83000,0.98496,0.98496
6.85000,0.98370,0.98370
6.87000,0.98250,0.98250
6.89000,0.98128,0.98128
6.91000,0.97998,0.97998
6.93000,0.97855,0.97855
6.95000,0.97693,0.97693
6.97000,0.97511,0.97511
6.99000,0.97304,0.97304
7.01000,0.97072,0.97072
7.03000,0.96815,0.96815
7.05000,0.96534,0.96534
7.07000,0.96231,0.96231
7.09000,0.95909,0.95909
7.11000,0.95574,0.95574
7.13000,0.95229,0.95229
7.15000,0.94882,0.94882
7.17000,0.94538,0.94538
7.19000,0.94205,0.94205
7.21000,0.93888,0.93888
7.23000,0.93596,0.93596
7.25000,0.93334,0.93334
7.27000,0.93109,0.93109
7.29000,0.92926,0.92926
7.31000,0.92790,0.92790
7.33000,0.92705,0.92705
7.35000,0.92673,0.92673
7.37000,0.92697,0.92697
7.39000,0.92777,0.92777
7.41000,0.92912,0.92912
7.43000,0.93100,0.93100
7.45000,0.93340,0.93340
7.47000,0.93627,0.93627
7.49000,0.93956,0.93956
7.51000,0.94323,0.94323
7.53000,0.94721,0.94721
7.55000,0.95145,0.95145
7.57000,0.95587,0.95587
7.59000,0.96041,0.96041
7.61000,0.96501,0.96501
7.63000,0.96959,0.96959
7.65000,0.97410,0.97410
7.67000,0.97850,0.97850
7.69000,0.98272,0.98272
7.71000,0.98675,0.98675
7.73000,0.99054,0.99054
7.75000,0.99407,0.99407
7.77000,0.99735,0.99735
7.79000,1.00036,1.00036
