Q,Bi-Bi,Total
18.49000,0.99725,0.99725
18.51000,0.99702,0.99702
18.53000,0.99685,0.99685
18.55000,0.99675,0.99675
18.57000,0.99671,0.99671
18.59000,0.99674,0.99674
18.61000,0.99685,0.99685
18.63000,0.99703,0.99703
18.65000,0.99728,0.99728
18.67000,0.99760,0.99760
18.69000,0.99798,0.99798
18.71000,0.99843,0.99843
18.73000,0.99893,0.99893
18.75000,0.99947,0.99947
18.77000,1.00006,1.00006
18.79000,1.00066,1.00066
18.81000,1.00129,1.00129
18.83000,1.00192,1.00192
18.85000,1.00255,1.00255
18.87000,1.00316,1.00316
18.89000,1.00375,1.00375
18.91000,1.00431,1.00431
18.93000,1.00483,1.00483
18.95000,1.00530,1.00530
18.97000,1.00572,1.00572
18.99000,1.00608,1.00608
19.01000,1.00638,1.00638
19.03000,1.00662,1.00662
19.05000,1.00680,1.00680
19.07000,1.00692,1.00692
19.09000,1.00697,1.00697
19.11000,1.00697,1.00697
19.13000,1.00691,1.00691
19.15000,1.00679,1.00679
19.17000,1.00663,1.00663
19.19000,1.00643,1.00643
19.21000,1.00619,1.00619
19.23000,1.00591,1.00591
19.25000,1.00561,1.00561
19.27000,1.00527,1.00527
19.29000,1.00492,1.00492
19.31000,1.00455,1.00455
19.33000,1.00416,1.00416
19.35000,1.00375,1.00375
19.37000,1.00333,1.00333
19.39000,1.00290,1.00290
19.41000,1.00246,1.00246
19.43000,1.00200,1.00200
19.45000,1.00154,1.00154
19.47000,1.00105,1.00105
19.49000,1.00056,1.00056
19.51000,1.00005,1.00005
19.53000,0.99952,0.99952
19.55000,0.99898,0.99898
19.57000,0.99842,0.99842
19.59000,0.99786,0.99786
19.61000,0.99728,0.99728
19.63000,0.99669,0.99669
19.65000,0.99609,0.99609
19.67000,0.99550,0.99550
19.69000,0.99491,0.99491
19.71000,0.99432,0.99432
19.73000,0.99376,0.99376
19.75000,0.99321,0.99321
19.77000,0.99269,0.99269
19.79000,0.99221,0.99221
19.81000,0.99177,0.99177
19.83000,0.99138,0.99138
19.85000,0.99104,0.99104
19.87000,0.99077,0.99077
19.89000,0.99057,0.99057
19.91000,0.99045,0.99045
19.93000,0.99040,0.99040
19.95000,0.99044,0.99044
19.97000,0.99056,0.99056
19.99000,0.99077,0.99077
