r,Bi-Bi,Total
4.25000,6.01852,6.01852
4.27000,5.09259,5.09259
4.29000,9.72222,9.72222
4.31000,6.94444,6.94444
4.33000,5.09259,5.09259
4.35000,10.64815,10.64815
4.37000,5.55556,5.55556
4.39000,6.48148,6.48148
4.41000,6.94444,6.94444
4.43000,9.25926,9.25926
4.45000,3.70370,3.70370
4.47000,11.57407,11.57407
4.49000,7.87037,7.87037
4.51000,6.94444,6.94444
4.53000,7.87037,7.87037
4.55000,5.55556,5.55556
4.57000,11.11111,11.11111
4.59000,9.72222,9.72222
4.61000,4.16667,4.16667
4.63000,6.94444,6.94444
4.65000,9.25926,9.25926
4.67000,8.79630,8.79630
4.69000,10.18519,10.18519
4.71000,6.48148,6.48148
4.73000,7.40741,7.40741
4.75000,5.55556,5.55556
4.77000,7.40741,7.40741
4.79000,5.55556,5.55556
4.81000,7.40741,7.40741
4.83000,4.16667,4.16667
4.85000,8.79630,8.79630
4.87000,5.09259,5.09259
4.89000,10.64815,10.64815
4.91000,8.33333,8.33333
4.93000,10.18519,10.18519
4.95000,7.87037,7.87037
4.97000,11.11111,11.11111
4.99000,11.57407,11.57407
5.01000,6.48148,6.48148
5.03000,7.40741,7.40741
5.05000,7.40741,7.40741
5.07000,7.87037,7.87037
5.09000,8.33333,8.33333
5.11000,5.55556,5.55556
5.13000,7.40741,7.40741
5.15000,9.25926,9.25926
5.17000,5.09259,5.09259
5.19000,5.55556,5.55556
5.21000,6.01852,6.01852
5.23000,8.79630,8.79630
5.25000,7.87037,7.87037
5.27000,9.72222,9.72222
5.29000,5.09259,5.09259
5.31000,6.94444,6.94444
5.33000,8.33333,8.33333
5.35000,8.79630,8.79630
5.37000,9.25926,9.25926
5.39000,9.72222,9.72222
5.41000,7.87037,7.87037
5.43000,6.01852,6.01852
5.45000,7.87037,7.87037
5.47000,8.33333,8.33333
5.49000,9.25926,9.25926
5.51000,8.79630,8.79630
5.53000,7.87037,7.87037
5.55000,6.48148,6.48148
5.57000,7.40741,7.40741
5.59000,7.87037,7.87037
5.61000,5.55556,5.55556
5.63000,7.40741,7.40741
5.65000,7.40741,7.40741
5.67000,9.72222,9.72222
5.69000,13.88889,13.88889
5.71000,6.48148,6.48148
5.73000,8.33333,8.33333
5.75000,6.48148,6.48148
5.77000,8.79630,8.79630
5.79000,10.64815,10.64815
5.81000,10.18519,10.18519
5.83000,6.48148,6.48148
5.85000,13.42593,13.42593
5.87000,7.87037,7.87037
5.89000,9.25926,9.25926
5.91000,13.88889,13.88889
5.93000,12.03704,12.03704
5.95000,8.33333,8.33333
5.97000,10.64815,10.64815
